category,Value11,value21
home,2991,9266
metro,27,15
train,2153,839
bus,1612,925
taxi,89,70
motorcycle,356,234
carDriver,17111,14254
carPassenger,1502,1079
bicycle,1095,892
foot,2285,1938
other,135,313
noWork,14504,34719
home,6025,10757
metro,22,17
train,374,196
bus,1730,992
taxi,106,92
motorcycle,228,129
carDriver,27790,24859
carPassenger,3415,2036
bicycle,694,407
foot,5496,4328
other,196,422
noWork,24902,51919
home,5697,15225
metro,67,27
train,664,201
bus,2375,1458
taxi,163,153
motorcycle,577,313
carDriver,40210,35212
carPassenger,3346,2430
bicycle,796,543
foot,5297,4180
other,189,429
noWork,31177,66035
home,8436,18060
metro,86,52
train,2972,1270
bus,1622,1264
taxi,214,216
motorcycle,585,380
carDriver,41037,39949
carPassenger,4095,3823
bicycle,2435,2014
foot,5620,5342
other,341,820
noWork,38628,91698
home,4177,11460
metro,1144,545
train,588,258
bus,2907,1724
taxi,213,419
motorcycle,485,275
carDriver,35904,35311
carPassenger,3500,3005
bicycle,1109,841
foot,5056,4070
other,253,524
noWork,32701,67870
home,7206,19120
metro,90,83
train,3591,1575
bus,1481,1177
taxi,130,152
motorcycle,368,221
carDriver,34627,32389
carPassenger,3069,2552
bicycle,1438,1186
foot,5307,4533
other,239,626
noWork,26706,69132
home,5776,13171
metro,77,32
train,1433,347
bus,915,282
taxi,74,73
motorcycle,272,184
carDriver,27049,23542
carPassenger,1856,1407
bicycle,820,499
foot,3783,3055
other,195,368
noWork,20825,49384
home,4740,19572
metro,16011,15301
train,9060,8660
bus,9215,9690
taxi,334,542
motorcycle,615,599
carDriver,27360,30732
carPassenger,2086,2392
bicycle,1064,1218
foot,4420,4464
other,312,1416
noWork,52351,124280
home,20968,79628
metro,43280,20758
train,9630,4690
bus,19677,15090
taxi,676,872
motorcycle,1777,1197
carDriver,58404,46797
carPassenger,3460,3169
bicycle,2368,2162
foot,9551,9361
other,867,2451
noWork,87785,203170
home,7945,22340
metro,115,37
train,2037,904
bus,6467,4733
taxi,455,699
motorcycle,823,432
carDriver,67465,66305
carPassenger,7487,6962
bicycle,712,738
foot,9700,7575
other,373,956
noWork,66826,132892
home,2009,6051
metro,33,5
train,515,250
bus,1593,937
taxi,426,387
motorcycle,542,366
carDriver,16727,15685
carPassenger,2277,1755
bicycle,1620,1030
foot,5302,4403
other,213,313
noWork,19846,36224
home,6482,27225
metro,556,707
train,13425,4967
bus,2757,1846
taxi,684,802
motorcycle,578,386
carDriver,45388,41731
carPassenger,4515,3818
bicycle,1412,1057
foot,6878,5498
other,331,976
noWork,42789,98560
home,10042,38057
metro,118,58
train,4572,1396
bus,3744,2156
taxi,217,367
motorcycle,545,358
carDriver,56324,41928
carPassenger,4332,3447
bicycle,1886,1394
foot,8015,7036
other,327,776
noWork,33121,88181
home,5525,10741
metro,35,25
train,583,268
bus,1228,694
taxi,145,170
motorcycle,374,240
carDriver,34984,33983
carPassenger,3546,3148
bicycle,1320,1035
foot,4873,4144
other,201,468
noWork,30491,62889
home,10624,34611
metro,118,62
train,2882,629
bus,5380,3063
taxi,197,235
motorcycle,876,522
carDriver,44498,35753
carPassenger,3813,2637
bicycle,2451,1713
foot,13636,9848
other,383,742
noWork,45692,103597
home,7921,28568
metro,97,106
train,3443,1352
bus,3140,1782
taxi,319,1102
motorcycle,416,356
carDriver,45554,42890
carPassenger,4361,4403
bicycle,2866,2529
foot,7360,6935
other,333,842
noWork,37954,94360
home,8560,40692
metro,2724,2838
train,27039,12164
bus,9553,7763
taxi,839,688
motorcycle,1424,767
carDriver,49278,42503
carPassenger,3287,2919
bicycle,1274,995
foot,5712,5258
other,469,1396
noWork,55755,128489
home,32837,114058
metro,1327,977
train,19222,9220
bus,71361,43123
taxi,2791,6673
motorcycle,1938,1118
carDriver,223632,202963
carPassenger,22116,21557
bicycle,6458,5741
foot,40042,31483
other,1967,5505
noWork,336561,702501
home,4795,15526
metro,30,23
train,357,134
bus,2468,998
taxi,102,196
motorcycle,354,185
carDriver,33359,28981
carPassenger,2465,1968
bicycle,1306,881
foot,2894,2181
other,146,373
noWork,20282,51480
home,4930,12388
metro,42,32
train,956,522
bus,3240,1568
taxi,1097,2120
motorcycle,315,196
carDriver,36700,35313
carPassenger,4916,4279
bicycle,592,445
foot,7460,6018
other,275,677
noWork,43894,91181
home,6173,12013
metro,40,262
train,512,321
bus,5174,3381
taxi,565,948
motorcycle,551,333
carDriver,32816,29376
carPassenger,4578,3481
bicycle,1916,1375
foot,8705,7004
other,389,868
noWork,42394,81674
home,1660,4036
metro,16,8
train,217,137
bus,855,437
taxi,154,142
motorcycle,149,113
carDriver,19640,19735
carPassenger,2778,2129
bicycle,134,118
foot,2574,1746
other,114,198
noWork,23518,38105
home,2855,6884
metro,59,17
train,247,135
bus,1614,865
taxi,111,195
motorcycle,287,193
carDriver,23758,24349
carPassenger,2397,2161
bicycle,272,250
foot,2780,2714
other,131,337
noWork,21434,42173
home,10086,29568
metro,274,181
train,4384,1618
bus,8200,4778
taxi,1537,2583
motorcycle,792,425
carDriver,76681,67803
carPassenger,8189,6830
bicycle,1261,1057
foot,11435,9226
other,528,1370
noWork,77356,170525
home,2831,3558
metro,12,27
train,92,77
bus,632,522
taxi,119,166
motorcycle,239,143
carDriver,18492,20491
carPassenger,3471,4154
bicycle,1976,1408
foot,2783,2748
other,160,337
noWork,16499,36871
home,9111,55150
metro,135,133
train,1467,1030
bus,7685,8312
taxi,290,574
motorcycle,989,1492
carDriver,49577,89083
carPassenger,4396,6898
bicycle,4169,5984
foot,10919,15391
other,448,1985
noWork,48388,214164
home,6875,26512
metro,109,68
train,2858,976
bus,1201,733
taxi,187,242
motorcycle,478,287
carDriver,41113,30194
carPassenger,2803,2160
bicycle,1360,912
foot,4602,3755
other,328,557
noWork,21202,58210
home,19312,55396
metro,261,131
train,10909,4160
bus,19595,10377
taxi,2502,5915
motorcycle,1027,527
carDriver,124104,109677
carPassenger,15300,12631
bicycle,1681,1525
foot,23175,18230
other,1071,2568
noWork,147280,325274
home,8511,21933
metro,196,137
train,6120,1698
bus,1619,847
taxi,229,224
motorcycle,446,295
carDriver,45715,41638
carPassenger,3540,2798
bicycle,1070,792
foot,6468,5241
other,286,682
noWork,32518,78984
home,7477,14404
metro,47,23
train,474,214
bus,1273,732
taxi,202,171
motorcycle,498,313
carDriver,39923,39172
carPassenger,3679,3136
bicycle,1574,1188
foot,5852,5575
other,302,711
noWork,32875,75838
home,12856,48987
metro,41392,24200
train,10081,8267
bus,25922,21439
taxi,376,886
motorcycle,1512,1801
carDriver,38202,34917
carPassenger,2820,3220
bicycle,3699,4074
foot,9877,11000
other,724,2206
noWork,86265,178819
home,4094,16784
metro,653,539
train,8181,2471
bus,644,370
taxi,200,178
motorcycle,230,131
carDriver,18041,14189
carPassenger,1190,867
bicycle,320,178
foot,2550,1815
other,148,379
noWork,16708,39146
home,4813,14375
metro,46,24
train,1474,655
bus,1722,939
taxi,364,355
motorcycle,313,225
carDriver,42315,39608
carPassenger,4470,3131
bicycle,503,380
foot,4967,3776
other,272,516
noWork,41546,81504
home,17356,59495
metro,351,158
train,13814,3539
bus,18563,9946
taxi,486,539
motorcycle,1035,931
carDriver,48846,34893
carPassenger,4754,3085
bicycle,6635,5282
foot,27242,19855
other,741,1567
noWork,70969,137812
home,17841,92026
metro,272,115
train,3931,1650
bus,19830,14617
taxi,575,999
motorcycle,2330,1545
carDriver,99695,78915
carPassenger,10039,7329
bicycle,15768,12466
foot,38832,26730
other,882,2120
noWork,111511,233955
home,6724,18934
metro,62,30
train,572,164
bus,3289,1220
taxi,145,165
motorcycle,814,394
carDriver,40878,34889
carPassenger,2918,1961
bicycle,2390,1422
foot,3320,2716
other,429,695
noWork,28764,69132
home,15799,75511
metro,4816,3146
train,45418,15214
bus,11115,8069
taxi,720,593
motorcycle,1630,966
carDriver,57095,45304
carPassenger,3247,2852
bicycle,2190,1784
foot,8708,7029
other,630,1654
noWork,71171,167869
home,5759,16436
metro,38,23
train,1868,647
bus,1067,370
taxi,113,180
motorcycle,237,119
carDriver,31754,25194
carPassenger,2013,1505
bicycle,471,287
foot,2798,2178
other,133,348
noWork,21556,51896
home,3904,14218
metro,1145,977
train,5469,2608
bus,1340,997
taxi,460,314
motorcycle,384,234
carDriver,27638,23586
carPassenger,2053,1613
bicycle,593,518
foot,3033,2686
other,203,554
noWork,21377,50701
home,4688,17302
metro,369,725
train,755,244
bus,4974,1993
taxi,114,176
motorcycle,453,211
carDriver,32280,24367
carPassenger,2483,1755
bicycle,2220,1341
foot,4672,3378
other,177,426
noWork,28388,59024
home,2941,6738
metro,20,16
train,238,193
bus,3170,1631
taxi,316,1143
motorcycle,212,112
carDriver,23316,22418
carPassenger,2991,2568
bicycle,397,403
foot,4375,4434
other,157,376
noWork,25243,54612
home,7689,26579
metro,4234,2163
train,523,250
bus,5671,2864
taxi,690,1156
motorcycle,455,236
carDriver,55361,43946
carPassenger,4819,3575
bicycle,1176,928
foot,7094,5907
other,324,879
noWork,46651,105369
home,5347,18473
metro,40,17
train,2950,1190
bus,2971,1680
taxi,302,360
motorcycle,411,288
carDriver,53239,46223
carPassenger,6004,4229
bicycle,475,394
foot,5469,4038
other,280,547
noWork,53462,98513
home,9506,27280
metro,80,49
train,3139,1158
bus,8075,3740
taxi,498,1110
motorcycle,605,286
carDriver,57705,46448
carPassenger,6044,4332
bicycle,877,665
foot,9763,7430
other,353,887
noWork,52121,113250
home,6417,32113
metro,130,85
train,2760,806
bus,3800,2515
taxi,188,423
motorcycle,490,373
carDriver,17879,13485
carPassenger,1628,1530
bicycle,17257,11836
foot,8653,6858
other,235,572
noWork,38846,75076
home,14366,58110
metro,35908,10351
train,6783,2852
bus,15476,6532
taxi,691,733
motorcycle,1157,546
carDriver,9984,7074
carPassenger,758,510
bicycle,6721,3993
foot,16420,10620
other,702,1190
noWork,64867,107625
home,3753,9529
metro,20,7
train,801,421
bus,1471,591
taxi,167,266
motorcycle,367,220
carDriver,33305,31258
carPassenger,3215,2737
bicycle,635,432
foot,3611,3035
other,131,381
noWork,24798,51642
home,7592,20109
metro,176,105
train,3252,1537
bus,3197,1906
taxi,170,210
motorcycle,433,259
carDriver,36080,30603
carPassenger,3106,2493
bicycle,1750,1105
foot,9626,7145
other,238,693
noWork,46247,91265
home,11998,57855
metro,196,101
train,5197,1962
bus,15947,7568
taxi,675,1018
motorcycle,655,453
carDriver,86767,64333
carPassenger,8003,5581
bicycle,5791,4664
foot,23644,15381
other,741,1523
noWork,100654,201869
home,5464,10187
metro,30,19
train,304,195
bus,3691,1791
taxi,174,200
motorcycle,294,146
carDriver,30673,29906
carPassenger,3377,2449
bicycle,1390,1188
foot,8245,6347
other,232,521
noWork,25657,57074
home,11630,19243
metro,58,39
train,778,361
bus,1630,879
taxi,206,304
motorcycle,422,241
carDriver,53340,50785
carPassenger,5247,3790
bicycle,615,463
foot,6369,5138
other,385,706
noWork,52250,105946
home,3625,11672
metro,162,122
train,5624,1839
bus,1430,808
taxi,223,165
motorcycle,325,203
carDriver,24984,21646
carPassenger,1894,1536
bicycle,631,422
foot,2352,2142
other,193,455
noWork,23183,48581
home,14781,52153
metro,271,205
train,8165,3042
bus,2585,1560
taxi,249,373
motorcycle,831,470
carDriver,87245,76820
carPassenger,5891,4976
bicycle,2058,1505
foot,9554,8754
other,431,1219
noWork,54597,143175
home,6780,9524
metro,32,21
train,125,65
bus,910,394
taxi,98,91
motorcycle,148,102
